PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,REGION
T2M,1990,14.0,31.25,22.52,22.15,24.98,31.26,34.2,33.69,30.29,30.85,31.77,32.83,28.69,26.93,29.21,Central
T2M,1990,14.0,31.875,23.39,22.81,25.6,31.81,34.44,33.94,30.27,30.69,31.72,32.98,29.27,27.57,29.57,Central
T2M,1990,14.0,32.5,24.41,23.65,26.31,32.38,34.85,34.23,29.78,30.15,31.36,32.74,29.93,28.23,29.86,Central
T2M,1990,14.0,33.125,25.26,24.29,27.05,32.64,35.07,34.19,29.14,29.41,30.58,32.0,30.18,28.58,29.89,Central
T2M,1990,14.0,33.75,25.98,24.83,27.61,32.67,34.95,33.72,28.68,28.9,29.6,31.48,30.42,28.8,29.82,Central
T2M,1990,14.5,31.25,22.2,21.64,24.56,31.19,34.26,33.77,30.87,31.61,32.51,33.1,28.79,26.86,29.32,Central
T2M,1990,14.5,31.875,22.89,22.07,25.06,31.62,34.43,34.04,31.04,31.75,32.6,33.34,29.22,27.31,29.65,Central
T2M,1990,14.5,32.5,23.71,22.77,25.62,31.94,34.59,34.17,30.41,31.14,32.1,32.83,29.59,27.78,29.75,Central
T2M,1990,14.5,33.125,24.64,23.56,26.44,32.35,35.02,34.42,30.1,30.6,31.49,32.49,29.96,28.22,29.97,Central
T2M,1990,14.5,33.75,25.47,24.2,27.21,32.59,35.15,34.23,29.32,29.74,30.43,31.78,30.13,28.5,29.92,Central
T2M,1990,15.0,31.25,21.35,20.62,23.65,30.6,33.83,33.59,30.84,31.62,32.88,32.73,28.24,26.19,28.89,Central
T2M,1990,15.0,31.875,21.95,20.99,24.11,30.97,34.08,33.81,31.33,32.29,33.15,33.32,28.64,26.57,29.31,Central
T2M,1990,15.0,32.5,23.37,22.24,25.38,31.99,34.84,34.45,31.51,32.52,33.04,33.48,29.66,27.66,30.05,Central
T2M,1990,15.0,33.125,24.17,22.9,26.01,32.24,34.95,34.65,31.24,31.98,32.37,33.08,29.89,28.04,30.16,Central
T2M,1990,15.0,33.75,25.01,23.6,26.84,32.54,35.21,34.72,30.52,31.22,31.48,32.58,30.18,28.3,30.22,Central
T2M,1990,15.5,31.25,20.48,19.6,22.72,29.96,33.28,33.39,31.65,32.17,33.15,32.3,27.56,25.42,28.52,Central
T2M,1990,15.5,31.875,21.37,20.25,23.48,30.63,33.86,33.89,32.43,32.92,33.79,33.37,28.34,26.13,29.25,Central
T2M,1990,15.5,32.5,22.55,21.23,24.53,31.41,34.43,34.3,32.47,33.29,33.66,33.64,29.14,27.0,29.85,Central
T2M,1990,15.5,33.125,23.49,22.07,25.44,31.95,34.78,34.57,32.3,32.99,33.05,33.37,29.61,27.61,30.14,Central
T2M,1990,15.5,33.75,23.98,22.41,25.89,31.92,34.71,34.64,31.54,32.16,32.03,32.8,29.48,27.51,29.96,Central
T2M,1990,16.0,31.25,19.76,18.72,21.96,29.55,32.82,33.12,32.63,32.56,33.08,31.66,27.01,24.84,28.19,Central
T2M,1990,16.0,31.875,21.05,19.75,23.14,30.66,33.89,34.05,33.74,33.64,34.28,33.33,28.28,26.03,29.37,Central
T2M,1990,16.0,32.5,21.67,20.24,23.68,30.77,33.94,33.94,33.24,33.5,33.93,33.24,28.45,26.24,29.45,Central
T2M,1990,16.0,33.125,22.11,20.61,24.09,30.86,33.99,34.05,32.79,33.31,33.33,32.75,28.45,26.33,29.44,Central
T2M,1990,16.0,33.75,22.93,21.22,24.84,31.17,34.21,34.62,32.63,33.19,32.95,32.66,28.7,26.64,29.69,Central
T2M,1990,16.5,31.25,19.43,18.23,21.63,29.59,32.78,33.2,33.28,33.06,33.14,31.56,26.95,24.77,28.19,Central
T2M,1990,16.5,31.875,20.73,19.24,22.81,30.66,33.81,34.05,34.36,33.96,34.33,33.12,28.19,25.95,29.32,Central
T2M,1990,16.5,32.5,21.22,19.69,23.3,30.58,33.81,33.98,33.83,33.82,34.14,32.93,28.18,25.93,29.34,Central
T2M,1990,16.5,33.125,21.92,20.36,23.97,30.85,34.27,34.52,33.93,34.17,34.4,32.97,28.52,26.29,29.73,Central
T2M,1990,16.5,33.75,22.74,20.88,24.66,31.27,34.47,35.02,33.94,34.31,34.36,33.05,28.84,26.71,30.07,Central
T2M,1991,14.0,31.25,22.3,24.47,27.5,33.83,35.21,34.06,31.83,30.79,32.38,31.75,27.18,21.69,29.43,Central
T2M,1991,14.0,31.875,23.1,25.23,28.06,34.39,35.28,34.06,31.85,30.61,32.32,32.2,27.89,22.55,29.81,Central
