-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,1990,11.0,25.0,12.32,14.14,15.4,18.66,22.99,23.04,21.21,20.71,21.18,19.74,17.71,17.42,12.32
T2M_MIN,1990,11.0,25.625,12.26,13.99,15.44,19.63,22.93,23.75,21.22,20.52,21.1,19.57,17.89,17.19,12.26
T2M_MIN,1990,11.0,26.25,12.35,14.05,15.73,19.93,23.54,24.35,20.64,20.79,20.97,20.35,18.57,17.75,12.35
T2M_MIN,1990,11.0,26.875,12.58,14.33,16.2,20.21,23.98,24.5,20.52,21.0,21.21,21.34,18.82,18.63,12.58
T2M_MIN,1990,11.0,27.5,12.66,14.77,16.59,20.34,23.89,24.65,20.47,20.72,20.96,21.12,18.88,18.77,12.66
T2M_MIN,1990,11.0,28.125,13.16,15.2,17.01,21.03,23.24,24.0,20.08,20.52,20.84,21.05,19.29,19.04,13.16
T2M_MIN,1990,11.0,28.75,13.42,15.32,17.07,21.03,22.18,23.48,19.66,20.3,20.25,20.83,19.03,19.51,13.42
T2M_MIN,1990,11.5,25.0,11.46,13.24,14.51,18.26,22.83,22.68,21.14,20.69,21.25,19.56,17.31,16.36,11.46
T2M_MIN,1990,11.5,25.625,11.41,13.12,14.39,17.82,22.76,22.67,21.39,20.96,21.28,19.46,17.39,16.29,11.41
T2M_MIN,1990,11.5,26.25,11.47,12.98,14.61,18.85,21.88,22.79,21.32,20.98,21.07,20.04,18.01,16.38,11.47
T2M_MIN,1990,11.5,26.875,11.81,13.1,15.15,19.82,22.65,22.97,21.3,21.18,21.33,20.73,18.72,17.52,11.81
T2M_MIN,1990,11.5,27.5,11.93,13.44,15.63,20.0,23.0,23.26,20.96,21.07,21.04,20.53,18.81,17.99,11.93
T2M_MIN,1990,11.5,28.125,12.14,13.71,15.81,20.25,22.64,23.43,20.28,20.88,20.27,19.35,18.63,18.03,12.14
T2M_MIN,1990,11.5,28.75,12.26,13.96,15.93,19.82,22.14,23.59,19.53,20.27,19.59,18.8,18.21,18.32,12.26
T2M_MIN,1990,12.0,25.0,10.24,11.95,13.47,18.05,22.37,21.7,20.35,20.39,20.8,19.14,17.03,15.78,10.24
T2M_MIN,1990,12.0,25.625,10.42,11.95,13.41,17.1,22.18,21.81,21.03,20.79,21.4,19.43,16.79,15.6,10.42
T2M_MIN,1990,12.0,26.25,10.54,12.04,13.76,17.9,22.07,22.56,21.32,20.93,21.38,19.83,17.59,15.73,10.54
T2M_MIN,1990,12.0,26.875,10.75,11.9,14.03,18.55,22.03,22.54,21.19,21.14,21.41,19.92,18.21,16.43,10.75
T2M_MIN,1990,12.0,27.5,11.0,11.95,14.4,18.86,22.09,22.51,21.22,21.05,20.98,19.79,18.19,16.86,11.0
T2M_MIN,1990,12.0,28.125,11.24,12.2,14.69,19.34,22.01,22.49,20.85,20.99,20.23,19.74,18.32,17.07,11.24
T2M_MIN,1990,12.0,28.75,11.44,12.52,14.91,19.23,21.37,21.99,19.91,20.26,19.63,19.39,18.26,17.43,11.44
T2M_MIN,1990,12.5,25.0,8.86,10.42,12.09,16.79,21.17,21.37,19.61,19.69,19.44,18.24,16.11,14.4,8.86
T2M_MIN,1990,12.5,25.625,9.27,10.49,11.97,16.12,21.23,20.92,20.41,20.58,20.1,17.73,15.95,14.51,9.27
T2M_MIN,1990,12.5,26.25,9.51,10.91,12.58,17.17,21.82,21.53,21.28,20.93,21.63,19.32,16.75,14.9,9.51
T2M_MIN,1990,12.5,26.875,9.7,10.78,12.9,17.67,21.84,21.78,21.46,21.08,21.74,19.9,17.01,15.27,9.7
T2M_MIN,1990,12.5,27.5,10.01,10.64,13.16,17.87,21.98,22.31,21.36,21.29,21.24,20.11,17.37,15.6,10.01
T2M_MIN,1990,12.5,28.125,10.16,10.72,13.6,18.2,22.26,21.92,20.97,21.14,20.71,20.18,17.99,16.09,10.16
T2M_MIN,1990,12.5,28.75,10.41,10.89,13.79,18.08,21.67,21.12,19.85,20.0,19.77,19.79,17.91,16.51,10.41
T2M_MIN,1990,13.0,25.0,7.32,8.85,10.51,14.46,19.73,20.97,19.91,20.26,19.36,17.31,13.91,12.26,7.32
T2M_MIN,1990,13.0,25.625,8.17,9.36,11.17,15.84,20.53,21.18,20.55,20.57,20.28,18.04,15.21,13.62,8.17
T2M_MIN,1990,13.0,26.25,8.51,9.71,11.34,16.7,21.49,21.62,21.16,21.12,21.14,18.96,15.83,14.11,8.51
T2M_MIN,1990,13.0,26.875,8.8,9.69,11.64,17.2,22.13,21.89,21.52,21.52,21.6,19.61,16.22,14.61,8.8
T2M_MIN,1990,13.0,27.5,9.18,9.42,11.85,17.61,21.98,22.29,21.42,21.02,21.35,19.74,16.62,15.26,9.18
T2M_MIN,1990,13.0,28.125,9.13,9.21,12.23,17.42,22.56,22.45,21.0,20.49,20.86,20.07,16.99,15.34,9.13
T2M_MIN,1990,13.0,28.75,9.13,9.46,12.69,16.89,22.35,21.68,20.16,19.39,20.07,19.45,16.87,15.28,9.13
T2M_MIN,1990,13.5,25.0,6.05,7.87,9.68,14.17,18.93,20.51,20.05,20.72,19.83,16.7,13.43,11.39,6.05
T2M_MIN,1990,13.5,25.625,7.28,8.43,10.78,16.19,20.57,21.1,20.41,20.77,20.32,18.21,14.95,13.22,7.28
T2M_MIN,1990,13.5,26.25,7.56,8.55,10.4,16.22,21.46,21.56,21.02,20.93,20.85,18.8,15.41,13.44,7.56
T2M_MIN,1990,13.5,26.875,7.92,8.68,10.55,16.43,21.98,22.31,21.61,20.88,21.06,19.67,15.96,13.73,7.92
T2M_MIN,1990,13.5,27.5,8.28,8.19,10.79,16.47,21.94,22.74,21.57,20.71,21.22,19.75,16.19,14.84,8.19
T2M_MIN,1990,13.5,28.125,8.25,7.96,10.85,16.43,22.09,22.5,20.95,20.25,20.79,19.74,16.27,14.85,7.96
T2M_MIN,1990,13.5,28.75,8.38,8.48,11.72,16.45,21.84,22.14,20.82,19.63,20.82,19.66,16.11,14.47,8.38
T2M_MIN,1990,14.0,25.0,5.43,7.15,9.0,14.02,18.45,19.54,19.22,19.97,19.14,16.54,13.07,11.24,5.43
T2M_MIN,1990,14.0,25.625,6.22,7.26,9.34,14.97,19.54,20.53,19.52,20.17,19.57,17.16,13.96,12.41,6.22
T2M_MIN,1990,14.0,26.25,6.79,7.7,9.79,15.39,20.39,21.53,20.82,20.62,20.44,17.82,14.7,13.0,6.79
T2M_MIN,1990,14.0,26.875,6.57,7.28,9.47,15.1,20.52,21.18,21.13,20.51,20.3,17.91,14.66,12.58,6.57
T2M_MIN,1990,14.0,27.5,7.33,7.16,9.88,15.6,21.19,21.59,21.03,20.39,20.71,19.26,15.61,14.07,7.16
