-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1990,14.0,31.25,0.0,0.0,0.0,0.0,0.0,0.05,3.18,0.85,0.49,0.18,0.0,0.0,0.4
PRECTOTCORR,1990,14.0,31.875,0.0,0.0,0.0,0.0,0.0,0.05,3.26,0.93,0.54,0.24,0.0,0.0,0.42
PRECTOTCORR,1990,14.0,32.5,0.0,0.0,0.0,0.0,0.0,0.04,2.84,1.16,0.88,0.76,0.0,0.0,0.48
PRECTOTCORR,1990,14.0,33.125,0.0,0.0,0.0,0.0,0.01,0.05,2.69,1.31,1.08,1.12,0.0,0.0,0.53
PRECTOTCORR,1990,14.0,33.75,0.0,0.0,0.0,0.0,0.01,0.11,3.24,1.61,1.46,1.41,0.0,0.0,0.66
PRECTOTCORR,1990,14.5,31.25,0.0,0.0,0.0,0.0,0.0,0.04,2.57,0.46,0.25,0.22,0.0,0.0,0.3
PRECTOTCORR,1990,14.5,31.875,0.0,0.0,0.0,0.0,0.0,0.03,2.62,0.5,0.31,0.23,0.0,0.0,0.31
PRECTOTCORR,1990,14.5,32.5,0.0,0.0,0.0,0.0,0.0,0.03,2.11,0.77,0.76,1.02,0.0,0.0,0.4
PRECTOTCORR,1990,14.5,33.125,0.0,0.0,0.0,0.0,0.01,0.03,1.94,0.85,0.86,1.1,0.0,0.0,0.4
PRECTOTCORR,1990,14.5,33.75,0.0,0.0,0.0,0.0,0.01,0.06,2.55,1.22,1.28,1.53,0.0,0.0,0.56
PRECTOTCORR,1990,15.0,31.25,0.0,0.0,0.0,0.0,0.01,0.04,2.22,0.26,0.14,0.16,0.0,0.0,0.24
PRECTOTCORR,1990,15.0,31.875,0.0,0.0,0.0,0.0,0.0,0.07,2.06,0.17,0.24,0.16,0.0,0.0,0.23
PRECTOTCORR,1990,15.0,32.5,0.0,0.0,0.0,0.0,0.0,0.03,1.37,0.37,0.53,0.5,0.0,0.0,0.24
PRECTOTCORR,1990,15.0,33.125,0.0,0.0,0.0,0.0,0.0,0.02,1.2,0.47,0.63,0.69,0.0,0.0,0.25
PRECTOTCORR,1990,15.0,33.75,0.0,0.0,0.0,0.0,0.0,0.02,1.26,0.69,0.78,0.87,0.0,0.0,0.31
PRECTOTCORR,1990,15.5,31.25,0.0,0.0,0.0,0.0,0.01,0.01,1.17,0.18,0.03,0.04,0.0,0.0,0.12
PRECTOTCORR,1990,15.5,31.875,0.0,0.0,0.0,0.0,0.0,0.02,1.09,0.12,0.1,0.04,0.0,0.0,0.12
PRECTOTCORR,1990,15.5,32.5,0.0,0.0,0.0,0.0,0.0,0.02,0.77,0.1,0.35,0.14,0.0,0.0,0.12
PRECTOTCORR,1990,15.5,33.125,0.0,0.0,0.0,0.0,0.0,0.01,0.54,0.15,0.47,0.18,0.0,0.0,0.11
PRECTOTCORR,1990,15.5,33.75,0.0,0.0,0.0,0.0,0.0,0.01,0.62,0.33,0.64,0.33,0.0,0.0,0.16
PRECTOTCORR,1990,16.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.02,0.02,0.02,0.0,0.0,0.04
PRECTOTCORR,1990,16.0,31.875,0.0,0.0,0.0,0.0,0.0,0.01,0.49,0.03,0.05,0.02,0.0,0.0,0.05
PRECTOTCORR,1990,16.0,32.5,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.03,0.15,0.07,0.0,0.0,0.05
PRECTOTCORR,1990,16.0,33.125,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.24,0.11,0.0,0.0,0.05
PRECTOTCORR,1990,16.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.42,0.18,0.0,0.0,0.08
PRECTOTCORR,1990,16.5,31.25,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.01,0.02,0.02,0.0,0.0,0.02
PRECTOTCORR,1990,16.5,31.875,0.0,0.0,0.0,0.0,0.0,0.01,0.16,0.0,0.03,0.02,0.0,0.0,0.02
PRECTOTCORR,1990,16.5,32.5,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.02,0.11,0.06,0.0,0.0,0.03
PRECTOTCORR,1990,16.5,33.125,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.03,0.15,0.08,0.0,0.0,0.03
PRECTOTCORR,1990,16.5,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.19,0.11,0.0,0.0,0.04
PRECTOTCORR,1991,14.0,31.25,0.0,0.0,0.0,0.05,0.34,0.05,0.51,1.53,0.32,0.24,0.0,0.0,0.26
PRECTOTCORR,1991,14.0,31.875,0.0,0.0,0.0,0.04,0.38,0.04,0.54,1.63,0.32,0.29,0.0,0.0,0.27
PRECTOTCORR,1991,14.0,32.5,0.0,0.0,0.0,0.12,0.58,0.08,0.95,2.28,0.4,0.39,0.0,0.0,0.41
PRECTOTCORR,1991,14.0,33.125,0.0,0.0,0.0,0.18,0.75,0.17,1.24,2.72,0.48,0.34,0.0,0.0,0.5
PRECTOTCORR,1991,14.0,33.75,0.0,0.0,0.0,0.23,1.04,0.43,1.8,3.42,0.59,0.28,0.0,0.0,0.66
PRECTOTCORR,1991,14.5,31.25,0.0,0.0,0.0,0.04,0.2,0.01,0.48,1.14,0.22,0.16,0.0,0.0,0.19
PRECTOTCORR,1991,14.5,31.875,0.0,0.0,0.0,0.03,0.18,0.01,0.5,1.19,0.23,0.15,0.0,0.0,0.19
PRECTOTCORR,1991,14.5,32.5,0.0,0.0,0.0,0.04,0.39,0.04,0.91,1.9,0.33,0.18,0.0,0.0,0.32
PRECTOTCORR,1991,14.5,33.125,0.0,0.0,0.0,0.08,0.43,0.05,1.03,2.09,0.37,0.25,0.0,0.0,0.36
PRECTOTCORR,1991,14.5,33.75,0.0,0.0,0.0,0.11,0.75,0.18,1.49,2.84,0.47,0.27,0.0,0.0,0.52
PRECTOTCORR,1991,15.0,31.25,0.0,0.0,0.0,0.02,0.16,0.0,0.41,0.63,0.11,0.07,0.01,0.0,0.12
PRECTOTCORR,1991,15.0,31.875,0.0,0.0,0.0,0.02,0.08,0.0,0.45,0.64,0.14,0.04,0.01,0.0,0.12
PRECTOTCORR,1991,15.0,32.5,0.0,0.0,0.0,0.05,0.12,0.0,0.79,1.27,0.27,0.33,0.0,0.0,0.24
PRECTOTCORR,1991,15.0,33.125,0.0,0.0,0.0,0.05,0.18,0.01,0.92,1.5,0.31,0.4,0.0,0.0,0.29
PRECTOTCORR,1991,15.0,33.75,0.0,0.0,0.0,0.05,0.29,0.02,1.03,1.87,0.36,0.75,0.0,0.0,0.37
PRECTOTCORR,1991,15.5,31.25,0.0,0.0,0.0,0.01,0.06,0.0,0.32,0.19,0.04,0.02,0.01,0.0,0.06
PRECTOTCORR,1991,15.5,31.875,0.0,0.0,0.0,0.01,0.04,0.0,0.41,0.2,0.05,0.02,0.01,0.0,0.06
PRECTOTCORR,1991,15.5,32.5,0.0,0.0,0.0,0.05,0.04,0.0,0.76,0.65,0.16,0.07,0.0,0.0,0.15
PRECTOTCORR,1991,15.5,33.125,0.0,0.0,0.0,0.06,0.06,0.0,0.83,0.92,0.2,0.17,0.0,0.0,0.19
PRECTOTCORR,1991,15.5,33.75,0.0,0.0,0.0,0.04,0.22,0.01,0.9,1.25,0.2,0.21,0.0,0.0,0.24
PRECTOTCORR,1991,16.0,31.25,0.0,0.0,0.0,0.01,0.02,0.0,0.34,0.1,0.02,0.02,0.01,0.0,0.04
PRECTOTCORR,1991,16.0,31.875,0.0,0.0,0.0,0.01,0.02,0.0,0.37,0.11,0.03,0.02,0.01,0.0,0.05
PRECTOTCORR,1991,16.0,32.5,0.0,0.0,0.0,0.04,0.01,0.0,0.71,0.32,0.08,0.03,0.0,0.0,0.1
PRECTOTCORR,1991,16.0,33.125,0.0,0.0,0.0,0.04,0.02,0.0,0.79,0.45,0.11,0.06,0.0,0.0,0.12
PRECTOTCORR,1991,16.0,33.75,0.0,0.0,0.0,0.02,0.07,0.0,0.73,0.67,0.11,0.09,0.0,0.0,0.14
PRECTOTCORR,1991,16.5,31.25,0.0,0.0,0.0,0.0,0.01,0.0,0.2,0.1,0.02,0.05,0.0,0.0,0.03
PRECTOTCORR,1991,16.5,31.875,0.0,0.0,0.0,0.0,0.01,0.0,0.26,0.1,0.02,0.02,0.01,0.0,0.04
PRECTOTCORR,1991,16.5,32.5,0.0,0.0,0.0,0.01,0.01,0.0,0.52,0.24,0.02,0.03,0.0,0.0,0.07
PRECTOTCORR,1991,16.5,33.125,0.0,0.0,0.0,0.01,0.01,0.0,0.62,0.3,0.04,0.04,0.0,0.0,0.09
