-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1990,14.0,31.25,35.87,35.31,38.36,44.11,43.93,43.28,40.14,40.44,41.39,41.22,39.57,38.55,44.11
T2M_MAX,1990,14.0,31.875,36.47,35.64,38.9,44.8,44.46,43.14,39.96,40.35,40.88,41.57,40.13,39.22,44.8
T2M_MAX,1990,14.0,32.5,36.38,35.32,38.69,43.91,44.14,42.4,38.28,39.42,40.83,41.55,39.71,38.75,44.14
T2M_MAX,1990,14.0,33.125,37.68,36.76,40.15,44.91,44.95,42.98,38.7,39.35,41.6,42.38,40.54,40.31,44.95
T2M_MAX,1990,14.0,33.75,37.08,36.27,39.51,43.45,43.81,41.65,37.12,37.13,39.22,41.05,39.93,39.91,43.81
T2M_MAX,1990,14.5,31.25,35.73,35.14,37.88,43.86,44.0,44.25,40.27,41.51,41.7,41.65,39.49,38.35,44.25
T2M_MAX,1990,14.5,31.875,36.06,34.94,38.24,44.59,44.48,43.87,40.72,41.28,41.62,41.9,40.05,38.96,44.59
T2M_MAX,1990,14.5,32.5,35.65,34.84,37.71,43.08,43.62,42.11,38.81,40.35,40.66,41.18,38.98,38.04,43.62
T2M_MAX,1990,14.5,33.125,36.36,35.36,38.77,43.85,44.32,42.21,38.68,39.95,41.24,41.66,39.75,39.07,44.32
T2M_MAX,1990,14.5,33.75,37.02,36.33,39.73,44.28,44.6,42.56,38.48,38.97,40.5,41.6,40.08,39.88,44.6
T2M_MAX,1990,15.0,31.25,34.92,34.33,36.91,43.13,43.49,44.01,40.05,41.27,41.72,41.46,38.77,37.4,44.01
T2M_MAX,1990,15.0,31.875,35.17,33.87,37.31,44.09,43.82,43.78,40.96,41.82,42.07,41.9,39.82,38.16,44.09
T2M_MAX,1990,15.0,32.5,36.53,35.36,38.93,44.75,44.9,43.83,40.86,42.18,42.27,42.71,40.44,39.34,44.9
T2M_MAX,1990,15.0,33.125,36.13,35.2,38.73,44.09,44.35,42.78,39.74,41.21,41.57,41.85,39.79,38.9,44.35
T2M_MAX,1990,15.0,33.75,36.95,36.47,40.18,45.27,45.17,43.5,39.93,40.9,41.55,42.33,40.51,39.85,45.27
T2M_MAX,1990,15.5,31.25,34.04,33.16,36.09,42.7,43.18,43.54,40.85,41.26,41.92,41.26,38.08,36.54,43.54
T2M_MAX,1990,15.5,31.875,34.79,33.27,37.09,43.84,43.95,43.67,41.53,42.15,42.83,42.26,39.33,37.58,43.95
T2M_MAX,1990,15.5,32.5,35.55,34.19,38.02,44.33,44.76,44.0,41.62,42.32,42.55,42.57,39.63,38.42,44.76
T2M_MAX,1990,15.5,33.125,36.1,35.09,38.91,44.67,45.02,43.78,41.24,42.17,42.38,42.43,39.82,39.04,45.02
