-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,1990,14.0,31.25,10.82,10.66,12.97,17.02,23.15,23.54,23.14,22.93,23.99,22.85,18.96,17.92,10.66
T2M_MIN,1990,14.0,31.875,11.43,11.26,13.35,17.55,23.43,24.06,23.12,22.8,23.82,23.34,19.81,18.42,11.26
T2M_MIN,1990,14.0,32.5,12.96,13.07,14.62,18.96,23.95,24.64,22.98,23.23,23.73,24.31,21.18,19.54,12.96
T2M_MIN,1990,14.0,33.125,13.58,13.55,15.01,18.52,23.76,24.31,22.51,22.55,23.21,23.24,20.57,18.79,13.55
T2M_MIN,1990,14.0,33.75,14.52,14.56,15.63,19.35,24.5,25.74,23.37,23.55,23.93,23.39,20.68,19.13,14.52
T2M_MIN,1990,14.5,31.25,11.02,9.96,12.86,17.48,23.4,22.96,23.37,23.3,24.43,22.42,19.06,17.84,9.96
T2M_MIN,1990,14.5,31.875,11.0,10.07,12.94,17.23,23.62,23.34,23.62,23.63,24.4,23.19,19.49,17.74,10.07
T2M_MIN,1990,14.5,32.5,12.16,11.65,13.95,18.24,24.39,24.97,23.65,23.57,24.51,23.3,20.36,19.28,11.65
T2M_MIN,1990,14.5,33.125,13.11,12.66,14.83,18.27,24.56,25.29,23.32,23.64,24.01,24.06,20.37,18.93,12.66
T2M_MIN,1990,14.5,33.75,13.44,13.21,15.27,18.63,24.49,26.06,23.32,23.55,23.6,23.06,20.2,18.76,13.21
T2M_MIN,1990,15.0,31.25,10.22,8.72,12.39,17.71,23.25,23.28,22.95,22.93,24.56,22.02,18.94,17.11,8.72
T2M_MIN,1990,15.0,31.875,10.05,9.05,12.31,16.93,23.26,23.06,23.54,23.82,24.68,22.48,18.92,17.11,9.05
T2M_MIN,1990,15.0,32.5,11.05,10.35,13.28,17.15,23.89,24.46,23.9,24.25,24.35,23.25,19.72,18.46,10.35
T2M_MIN,1990,15.0,33.125,12.21,11.7,13.91,17.71,24.27,25.25,23.81,24.65,24.24,24.32,20.14,19.23,11.7
T2M_MIN,1990,15.0,33.75,12.66,12.03,14.11,17.98,24.43,25.43,23.56,23.97,23.13,24.08,20.16,18.91,12.03
T2M_MIN,1990,15.5,31.25,9.5,8.04,11.55,16.97,22.57,22.75,23.72,22.24,24.6,21.36,18.2,16.46,8.04
T2M_MIN,1990,15.5,31.875,9.38,8.41,11.56,16.64,22.5,22.98,24.22,22.96,25.09,21.57,18.33,16.63,8.41
