-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1990,16.0,35.0,0.0,0.0,0.0,0.0,0.02,0.01,0.46,0.34,0.51,0.33,0.0,0.0,0.14
PRECTOTCORR,1990,16.0,35.625,0.0,0.0,0.0,0.0,0.04,0.01,0.52,0.5,0.86,0.41,0.0,0.0,0.2
PRECTOTCORR,1990,16.0,36.25,0.0,0.0,0.02,0.0,0.02,0.02,0.65,0.82,1.14,0.21,0.0,0.0,0.24
PRECTOTCORR,1990,16.0,36.875,0.01,0.01,0.08,0.0,0.01,0.1,0.86,0.96,1.03,0.02,0.0,0.0,0.26
PRECTOTCORR,1990,16.5,35.0,0.0,0.0,0.0,0.0,0.01,0.0,0.25,0.13,0.3,0.25,0.01,0.0,0.08
PRECTOTCORR,1990,16.5,35.625,0.0,0.0,0.0,0.0,0.03,0.0,0.32,0.2,0.41,0.27,0.01,0.0,0.1
PRECTOTCORR,1990,16.5,36.25,0.01,0.0,0.01,0.0,0.02,0.0,0.4,0.35,0.47,0.11,0.02,0.0,0.12
PRECTOTCORR,1990,16.5,36.875,0.01,0.0,0.05,0.0,0.0,0.04,0.54,0.53,0.7,0.01,0.02,0.0,0.16
PRECTOTCORR,1990,17.0,35.0,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.04,0.18,0.12,0.01,0.0,0.04
PRECTOTCORR,1990,17.0,35.625,0.01,0.0,0.0,0.0,0.02,0.0,0.19,0.09,0.25,0.13,0.02,0.0,0.06
PRECTOTCORR,1990,17.0,36.25,0.02,0.0,0.01,0.0,0.01,0.0,0.29,0.27,0.36,0.02,0.06,0.0,0.09
PRECTOTCORR,1990,17.0,36.875,0.02,0.0,0.03,0.0,0.0,0.01,0.33,0.29,0.42,0.0,0.05,0.0,0.1
PRECTOTCORR,1990,17.5,35.0,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.01,0.07,0.02,0.01,0.0,0.02
PRECTOTCORR,1990,17.5,35.625,0.01,0.0,0.0,0.0,0.01,0.0,0.08,0.04,0.1,0.03,0.03,0.0,0.03
