-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1990,16.0,35.0,37.15,36.25,39.85,45.1,45.67,44.95,42.31,42.69,42.1,42.34,40.04,39.28,45.67
T2M_MAX,1990,16.0,35.625,37.09,36.69,39.77,44.67,45.22,44.7,41.83,42.31,41.06,41.44,39.76,39.09,45.22
T2M_MAX,1990,16.0,36.25,35.96,35.12,38.16,43.26,43.73,42.76,39.35,39.83,38.95,40.13,38.66,38.27,43.73
T2M_MAX,1990,16.0,36.875,37.93,36.28,39.5,43.4,44.35,42.68,38.63,38.79,40.03,40.2,39.18,38.99,44.35
T2M_MAX,1990,16.5,35.0,36.71,35.69,39.14,44.74,45.49,44.92,43.22,43.32,42.52,41.86,39.27,38.64,45.49
T2M_MAX,1990,16.5,35.625,36.96,36.31,39.57,44.54,45.19,44.75,42.77,43.1,41.47,41.49,39.07,38.6,45.19
T2M_MAX,1990,16.5,36.25,35.63,35.29,38.35,43.42,43.81,43.21,40.73,41.31,40.12,40.62,38.43,38.23,43.81
T2M_MAX,1990,16.5,36.875,36.74,36.19,39.12,43.46,44.23,43.06,39.78,40.12,40.48,40.74,39.08,38.79,44.23
T2M_MAX,1990,17.0,35.0,36.32,35.15,38.46,44.32,45.25,44.92,43.89,43.74,42.92,41.65,38.73,38.15,45.25
T2M_MAX,1990,17.0,35.625,36.57,35.54,39.15,44.17,45.02,44.42,42.85,43.35,41.58,41.27,38.62,38.12,45.02
T2M_MAX,1990,17.0,36.25,36.9,36.61,39.5,44.35,44.99,44.52,42.32,43.05,41.59,41.44,39.22,38.76,44.99
T2M_MAX,1990,17.0,36.875,35.82,36.64,38.37,43.68,44.54,44.19,40.97,41.51,41.22,41.21,38.93,38.51,44.54
T2M_MAX,1990,17.5,35.0,35.76,34.28,37.65,44.07,44.95,44.92,44.77,43.88,42.81,41.79,38.47,37.78,44.95
T2M_MAX,1990,17.5,35.625,36.24,35.11,38.81,43.9,45.02,44.75,43.52,43.71,42.27,41.48,38.4,37.53,45.02
T2M_MAX,1990,17.5,36.25,36.43,35.76,38.93,43.34,44.54,45.18,41.74,42.44,41.53,40.59,37.76,37.06,45.18
T2M_MAX,1990,17.5,36.875,36.34,37.34,38.34,43.73,45.14,45.39,42.59,42.8,42.93,41.13,38.92,38.21,45.39
T2M_MAX,1990,18.0,35.0,35.27,33.73,37.48,43.65,44.91,44.95,44.67,44.4,42.62,42.13,37.93,37.24,44.95
T2M_MAX,1990,18.0,35.625,35.88,34.56,38.04,43.57,45.36,45.78,43.56,43.96,42.26,42.08,37.89,36.84,45.78
T2M_MAX,1990,18.0,36.25,35.48,34.67,38.3,42.54,44.57,45.03,41.7,42.43,41.87,40.88,36.47,35.12,45.03
T2M_MAX,1990,18.0,36.875,33.1,34.03,35.89,39.05,42.03,42.57,40.04,40.49,40.29,38.26,34.32,32.56,42.57
T2M_MAX,1990,18.5,35.0,34.87,33.29,37.4,43.53,45.15,46.21,44.92,44.64,43.02,42.57,37.75,36.87,46.21
T2M_MAX,1990,18.5,35.625,35.66,34.01,38.23,42.99,45.17,46.18,44.08,44.2,42.23,42.09,37.15,35.88,46.18
T2M_MAX,1990,18.5,36.25,34.73,33.79,37.51,41.7,44.27,44.34,42.17,42.62,41.42,40.49,35.44,33.67,44.34
T2M_MAX,1990,18.5,36.875,30.9,32.86,34.83,36.73,41.59,41.69,39.89,40.21,38.95,36.82,32.72,28.84,41.69
T2M_MAX,1990,19.0,35.0,34.62,33.01,37.15,43.59,45.7,47.01,44.97,44.79,43.51,42.76,37.95,36.74,47.01
T2M_MAX,1990,19.0,35.625,35.1,33.65,37.65,43.06,45.47,46.26,44.34,44.45,43.11,42.2,37.3,35.54,46.26
T2M_MAX,1990,19.0,36.25,33.62,32.76,36.52,40.34,43.28,43.56,41.72,42.07,41.1,39.4,34.44,31.76,43.56
