-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,1990,16.0,35.0,12.82,12.02,13.3,17.32,23.2,25.79,24.29,24.33,22.98,21.53,19.11,18.12,12.02
T2M_MIN,1990,16.0,35.625,13.5,12.43,14.37,17.57,22.94,25.8,23.94,24.01,22.85,21.04,18.11,18.11,12.43
T2M_MIN,1990,16.0,36.25,13.92,13.63,15.1,17.26,22.87,26.0,23.99,23.76,22.73,20.97,18.39,17.99,13.63
T2M_MIN,1990,16.0,36.875,12.64,12.76,13.78,15.19,20.87,24.86,22.77,22.22,21.71,18.97,15.59,16.21,12.64
T2M_MIN,1990,16.5,35.0,12.34,10.97,13.14,16.82,23.15,26.23,25.42,25.03,24.04,22.38,19.2,18.45,10.97
T2M_MIN,1990,16.5,35.625,12.92,11.78,14.28,17.19,22.7,26.11,24.87,24.52,22.96,21.56,18.57,18.28,11.78
T2M_MIN,1990,16.5,36.25,13.74,13.29,15.15,17.15,22.37,25.45,24.82,24.4,23.25,21.15,18.21,17.88,13.29
T2M_MIN,1990,16.5,36.875,12.5,12.9,14.01,15.4,20.42,23.85,23.16,22.54,21.98,18.98,16.53,15.92,12.5
T2M_MIN,1990,17.0,35.0,11.75,9.9,12.92,16.27,22.86,25.29,25.54,25.03,25.11,22.38,18.95,18.03,9.9
T2M_MIN,1990,17.0,35.625,11.92,10.99,13.89,16.6,22.2,25.9,25.26,25.08,23.69,21.66,18.77,18.27,10.99
T2M_MIN,1990,17.0,36.25,13.07,12.78,14.5,16.41,21.68,25.05,24.48,24.02,23.1,20.95,18.57,18.07,12.78
T2M_MIN,1990,17.0,36.875,12.43,12.97,14.14,15.49,19.97,23.49,23.7,23.51,22.02,19.68,17.32,16.66,12.43
T2M_MIN,1990,17.5,35.0,11.16,9.23,12.47,16.13,22.82,24.76,24.38,25.02,26.22,22.02,19.03,17.69,9.23
