-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1990,17.0,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.02,0.17,0.0,0.0,0.04
PRECTOTCORR,1990,17.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.02,0.18,0.0,0.0,0.02
PRECTOTCORR,1990,17.0,29.375,0.0,0.0,0.01,0.0,0.0,0.0,0.12,0.0,0.02,0.15,0.0,0.0,0.03
PRECTOTCORR,1990,17.0,30.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.01,0.08,0.0,0.0,0.02
PRECTOTCORR,1990,17.0,30.625,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.01,0.06,0.0,0.0,0.01
PRECTOTCORR,1990,17.0,31.25,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.02,0.02,0.0,0.0,0.01
PRECTOTCORR,1990,17.0,31.875,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.03,0.02,0.0,0.0,0.01
PRECTOTCORR,1990,17.5,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.01,0.13,0.0,0.0,0.04
PRECTOTCORR,1990,17.5,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.01,0.07,0.0,0.0,0.01
PRECTOTCORR,1990,17.5,29.375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.01,0.08,0.0,0.0,0.01
PRECTOTCORR,1990,17.5,30.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.02,0.01,0.04,0.0,0.0,0.01
PRECTOTCORR,1990,17.5,30.625,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.0,0.0,0.01
PRECTOTCORR,1990,17.5,31.25,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
PRECTOTCORR,1990,17.5,31.875,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
PRECTOTCORR,1990,18.0,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.02,0.0,0.04,0.0,0.0,0.04
