-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1990,17.0,28.125,30.37,28.28,33.35,41.41,43.27,43.23,41.43,40.75,40.63,39.7,35.87,33.12,43.27
T2M_MAX,1990,17.0,28.75,30.98,28.48,33.85,41.99,43.63,43.59,41.79,41.17,41.09,40.19,36.29,33.59,43.63
T2M_MAX,1990,17.0,29.375,30.92,28.04,33.82,41.74,43.46,43.58,41.59,40.79,41.08,40.31,36.27,34.32,43.58
T2M_MAX,1990,17.0,30.0,31.79,28.7,34.69,42.43,43.93,44.22,42.07,41.34,41.73,41.12,37.24,35.53,44.22
T2M_MAX,1990,17.0,30.625,33.21,29.76,35.49,43.35,44.25,44.98,42.79,42.24,42.36,42.34,38.38,36.33,44.98
T2M_MAX,1990,17.0,31.25,33.23,30.28,35.58,43.34,44.04,45.31,42.51,42.53,42.64,42.47,38.35,36.08,45.31
T2M_MAX,1990,17.0,31.875,33.92,30.84,36.49,43.76,44.24,45.4,42.86,43.05,43.49,42.5,38.52,36.62,45.4
T2M_MAX,1990,17.5,28.125,30.34,28.25,33.38,41.49,43.57,43.52,41.73,40.89,40.95,39.97,36.07,33.05,43.57
T2M_MAX,1990,17.5,28.75,30.7,28.32,33.75,42.03,43.77,43.64,41.96,41.37,41.25,40.39,36.42,33.43,43.77
T2M_MAX,1990,17.5,29.375,30.62,27.9,33.92,41.94,43.66,43.78,42.02,41.23,41.31,40.92,36.34,33.97,43.78
T2M_MAX,1990,17.5,30.0,31.07,28.14,34.57,42.17,43.9,44.4,42.23,41.54,42.0,41.48,36.92,34.85,44.4
T2M_MAX,1990,17.5,30.625,32.4,29.15,35.52,43.28,44.5,45.48,42.95,42.67,43.39,42.23,38.26,35.91,45.48
T2M_MAX,1990,17.5,31.25,32.93,29.59,35.66,43.64,44.34,45.73,43.08,43.03,43.36,42.78,38.6,36.32,45.73
T2M_MAX,1990,17.5,31.875,33.84,30.39,36.38,44.1,44.65,46.26,43.39,43.36,43.59,42.93,38.79,36.76,46.26
