-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,1990,17.0,28.125,5.66,4.65,7.75,13.67,18.54,20.0,21.05,22.32,22.21,15.96,13.07,10.97,4.65
T2M_MIN,1990,17.0,28.75,6.21,5.06,8.46,14.12,19.07,20.92,21.58,23.4,22.74,16.75,13.42,12.22,5.06
T2M_MIN,1990,17.0,29.375,6.36,5.35,8.44,14.35,19.23,20.68,22.37,23.38,22.74,17.23,14.2,12.66,5.35
T2M_MIN,1990,17.0,30.0,6.88,5.8,8.48,14.53,19.65,21.06,22.34,23.42,23.21,17.92,14.95,13.44,5.8
T2M_MIN,1990,17.0,30.625,7.41,6.41,8.7,15.06,20.37,21.58,22.57,24.0,23.33,18.48,16.42,14.61,6.41
T2M_MIN,1990,17.0,31.25,7.61,6.94,9.03,15.09,20.32,21.86,22.6,24.41,23.91,19.24,16.79,15.24,6.94
T2M_MIN,1990,17.0,31.875,8.32,7.15,9.61,15.81,21.27,22.63,23.4,24.11,24.6,20.7,17.79,16.05,7.15
T2M_MIN,1990,17.5,28.125,5.97,5.36,7.89,14.42,19.28,19.86,20.98,23.01,22.15,16.21,13.57,11.41,5.36
T2M_MIN,1990,17.5,28.75,6.37,5.51,8.28,14.56,19.75,20.59,21.56,23.31,22.41,16.64,13.7,11.74,5.51
T2M_MIN,1990,17.5,29.375,6.48,5.7,8.52,14.51,19.5,20.25,21.67,23.21,22.43,16.8,14.11,12.41,5.7
T2M_MIN,1990,17.5,30.0,6.73,5.78,8.33,14.53,19.6,20.36,21.73,22.89,22.43,17.3,14.89,12.96,5.78
T2M_MIN,1990,17.5,30.625,6.96,6.48,8.54,15.08,20.3,21.78,22.4,23.49,23.22,18.25,16.48,14.2,6.48
T2M_MIN,1990,17.5,31.25,7.1,6.54,8.61,14.99,20.24,22.03,22.7,23.88,23.54,19.21,16.86,14.76,6.54
T2M_MIN,1990,17.5,31.875,7.91,7.02,8.81,15.4,20.55,22.37,23.03,23.72,24.28,20.53,18.09,15.69,7.02
