-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1990,10.0,29.375,0.0,0.02,0.0,0.15,1.48,3.57,7.37,6.69,3.65,2.15,0.17,0.02,2.13
PRECTOTCORR,1990,10.0,30.0,0.0,0.05,0.0,0.1,0.78,2.26,7.8,6.42,3.74,1.66,0.16,0.02,1.94
PRECTOTCORR,1990,10.0,30.625,0.0,0.05,0.0,0.09,0.75,2.14,7.82,6.26,3.72,1.59,0.15,0.02,1.9
PRECTOTCORR,1990,10.0,31.25,0.0,0.01,0.0,0.07,0.57,1.27,7.27,5.06,3.58,1.12,0.13,0.03,1.61
PRECTOTCORR,1990,10.0,31.875,0.0,0.0,0.01,0.09,0.6,1.13,6.76,4.88,3.64,1.07,0.15,0.03,1.55
PRECTOTCORR,1990,10.5,29.375,0.0,0.01,0.0,0.01,0.7,2.98,6.84,4.97,3.16,2.21,0.02,0.0,1.76
PRECTOTCORR,1990,10.5,30.0,0.0,0.05,0.0,0.02,0.47,2.14,6.72,5.18,3.72,2.0,0.08,0.01,1.72
PRECTOTCORR,1990,10.5,30.625,0.0,0.04,0.0,0.02,0.41,1.91,6.8,5.02,3.73,1.9,0.08,0.01,1.68
PRECTOTCORR,1990,10.5,31.25,0.0,0.01,0.0,0.01,0.31,1.25,6.16,4.5,3.54,1.32,0.07,0.01,1.45
PRECTOTCORR,1990,10.5,31.875,0.0,0.0,0.01,0.01,0.3,1.02,5.6,4.37,3.68,1.16,0.06,0.02,1.37
PRECTOTCORR,1990,11.0,29.375,0.0,0.0,0.0,0.0,0.45,2.61,7.85,4.74,3.46,1.84,0.01,0.0,1.76
PRECTOTCORR,1990,11.0,30.0,0.0,0.01,0.01,0.0,0.38,2.02,7.07,4.65,4.2,2.27,0.04,0.0,1.74
PRECTOTCORR,1990,11.0,30.625,0.0,0.02,0.01,0.0,0.3,1.73,6.72,4.55,4.22,2.12,0.06,0.0,1.66
PRECTOTCORR,1990,11.0,31.25,0.0,0.01,0.01,0.0,0.22,1.07,5.68,4.03,3.49,1.44,0.06,0.0,1.35
PRECTOTCORR,1990,11.0,31.875,0.0,0.0,0.01,0.01,0.24,0.98,5.4,3.81,3.22,1.16,0.05,0.0,1.25
PRECTOTCORR,1990,11.5,29.375,0.0,0.0,0.0,0.0,0.35,2.22,8.21,4.73,3.5,1.58,0.0,0.0,1.73
PRECTOTCORR,1990,11.5,30.0,0.0,0.0,0.0,0.0,0.34,1.93,7.58,4.58,4.13,2.02,0.01,0.0,1.73
PRECTOTCORR,1990,11.5,30.625,0.0,0.01,0.01,0.0,0.28,1.54,7.09,4.23,4.58,2.06,0.01,0.0,1.67
PRECTOTCORR,1990,11.5,31.25,0.0,0.0,0.01,0.0,0.2,0.82,5.41,3.14,2.96,1.0,0.02,0.0,1.14
PRECTOTCORR,1990,11.5,31.875,0.0,0.0,0.01,0.01,0.21,0.79,5.46,3.13,2.93,0.91,0.02,0.0,1.13
PRECTOTCORR,1990,12.0,29.375,0.0,0.0,0.0,0.0,0.26,1.4,6.99,4.31,3.0,1.3,0.0,0.0,1.45
PRECTOTCORR,1990,12.0,30.0,0.0,0.0,0.0,0.0,0.28,1.34,6.57,4.14,3.21,1.55,0.0,0.0,1.44
PRECTOTCORR,1990,12.0,30.625,0.0,0.0,0.0,0.0,0.27,1.19,6.44,3.95,3.38,1.52,0.0,0.0,1.41
PRECTOTCORR,1990,12.0,31.25,0.0,0.0,0.0,0.0,0.16,0.61,5.43,2.67,2.69,0.8,0.0,0.0,1.04
PRECTOTCORR,1990,12.0,31.875,0.0,0.0,0.0,0.01,0.14,0.46,4.79,2.31,2.14,0.54,0.0,0.0,0.88
PRECTOTCORR,1990,9.0,29.375,0.01,0.01,0.0,0.33,2.75,3.77,7.35,7.36,4.1,2.6,0.45,0.07,2.42
PRECTOTCORR,1990,9.0,30.0,0.01,0.0,0.0,0.27,1.81,2.65,8.21,6.91,4.19,1.72,0.3,0.06,2.2
PRECTOTCORR,1990,9.0,30.625,0.0,0.0,0.0,0.21,1.08,1.85,8.31,6.55,4.48,1.28,0.25,0.06,2.03
PRECTOTCORR,1990,9.0,31.25,0.0,0.0,0.0,0.18,0.82,1.2,6.8,5.7,4.35,1.0,0.31,0.07,1.72
PRECTOTCORR,1990,9.0,31.875,0.01,0.0,0.02,0.21,0.85,1.19,6.65,5.55,4.13,1.04,0.31,0.08,1.69
