-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1990,10.0,29.375,28.42,28.81,30.29,34.05,32.02,29.45,25.58,25.56,26.26,27.9,30.64,30.94,29.15
T2M,1990,10.0,30.0,28.62,28.81,30.49,34.0,32.51,30.04,25.8,25.43,26.31,28.17,30.7,31.09,29.32
T2M,1990,10.0,30.625,28.48,28.46,30.28,33.76,32.39,30.21,25.77,25.22,26.07,28.09,30.67,30.97,29.19
T2M,1990,10.0,31.25,28.25,28.17,29.99,33.57,32.77,30.99,25.86,25.28,26.49,28.82,31.32,30.7,29.35
T2M,1990,10.0,31.875,28.13,27.94,29.69,33.24,32.73,31.08,26.06,25.55,26.79,29.04,31.16,30.44,29.32
T2M,1990,10.5,29.375,27.71,28.11,29.67,34.07,33.11,30.45,26.31,26.02,26.89,28.8,30.73,30.43,29.36
T2M,1990,10.5,30.0,27.83,28.04,29.67,33.78,32.88,30.19,25.99,25.41,26.45,28.22,30.15,30.54,29.09
T2M,1990,10.5,30.625,27.7,27.72,29.52,33.53,32.67,30.14,25.66,24.94,25.89,27.91,30.14,30.4,28.85
T2M,1990,10.5,31.25,27.42,27.28,29.23,33.5,33.22,31.16,25.93,25.38,26.67,28.82,30.9,30.13,29.14
T2M,1990,10.5,31.875,27.24,27.05,28.87,33.25,33.17,31.47,26.33,25.96,27.2,29.15,30.96,29.92,29.22
T2M,1990,11.0,29.375,26.38,26.65,28.3,33.24,32.95,30.31,25.78,25.29,26.27,28.22,29.77,29.65,28.57
T2M,1990,11.0,30.0,26.12,26.24,27.97,32.82,32.52,29.87,25.51,24.87,25.91,27.46,28.89,29.39,28.13
T2M,1990,11.0,30.625,25.81,25.75,27.57,32.21,31.87,29.26,24.79,24.01,25.06,26.91,28.61,28.95,27.57
T2M,1990,11.0,31.25,26.47,26.26,28.32,33.11,33.24,31.02,25.82,25.16,26.39,28.57,30.22,29.55,28.68
T2M,1990,11.0,31.875,26.51,26.3,28.22,33.12,33.56,31.73,26.46,26.12,27.39,29.43,30.62,29.46,29.08
T2M,1990,11.5,29.375,24.66,24.81,26.66,31.87,32.54,29.83,25.2,24.52,25.35,27.17,28.47,28.28,27.45
T2M,1990,11.5,30.0,24.16,24.15,26.14,31.42,32.15,29.67,25.04,24.38,25.32,26.99,28.12,27.78,27.12
T2M,1990,11.5,30.625,24.04,23.97,25.91,31.18,31.69,29.41,24.77,23.98,24.94,26.6,27.46,27.54,26.8
T2M,1990,11.5,31.25,25.08,24.72,26.91,32.2,32.7,30.7,25.58,25.05,26.22,28.5,29.32,28.54,27.97
