-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1990,10.0,29.375,40.43,40.74,42.12,44.14,41.67,39.94,33.29,31.5,32.3,37.86,41.48,41.51,44.14
T2M_MAX,1990,10.0,30.0,40.96,40.74,42.31,44.14,41.7,40.48,34.92,31.07,33.12,37.93,41.79,41.79,44.14
T2M_MAX,1990,10.0,30.625,40.72,39.93,41.73,44.2,41.73,40.59,35.01,30.95,32.6,38.39,41.51,41.57,44.2
T2M_MAX,1990,10.0,31.25,40.19,39.39,41.11,43.98,42.14,40.81,34.82,31.03,34.58,39.59,41.09,41.19,43.98
T2M_MAX,1990,10.0,31.875,39.02,38.28,39.98,42.66,41.78,39.78,33.89,31.13,34.12,38.49,40.14,40.24,42.66
T2M_MAX,1990,10.5,29.375,40.26,40.34,41.62,44.53,42.59,41.0,34.69,32.31,34.62,38.46,41.0,41.15,44.53
T2M_MAX,1990,10.5,30.0,40.36,39.94,41.43,44.08,42.51,40.65,34.34,31.43,34.07,37.0,40.75,41.27,44.08
T2M_MAX,1990,10.5,30.625,40.11,39.28,41.15,44.05,42.04,40.61,34.64,30.87,33.09,38.39,41.0,41.12,44.05
T2M_MAX,1990,10.5,31.25,39.61,38.44,40.44,44.02,42.1,41.04,34.9,31.85,34.9,39.5,40.5,40.63,44.02
T2M_MAX,1990,10.5,31.875,38.32,36.91,38.99,42.71,41.92,40.04,34.0,32.17,35.2,38.25,39.66,39.49,42.71
T2M_MAX,1990,11.0,29.375,39.54,39.37,40.35,44.27,42.23,40.96,33.74,31.15,34.54,37.06,39.95,40.3,44.27
T2M_MAX,1990,11.0,30.0,39.38,38.88,40.08,43.7,41.82,40.4,33.84,30.95,33.54,35.92,39.17,39.87,43.7
T2M_MAX,1990,11.0,30.625,38.79,37.82,39.81,43.27,41.41,39.75,33.45,30.04,32.57,36.77,39.11,39.82,43.27
T2M_MAX,1990,11.0,31.25,38.88,37.7,39.75,44.28,42.21,40.9,34.46,32.1,34.45,38.91,40.08,40.21,44.28
T2M_MAX,1990,11.0,31.875,37.8,36.46,38.7,43.24,42.12,40.47,33.91,33.01,35.39,38.65,40.2,39.15,43.24
T2M_MAX,1990,11.5,29.375,38.21,37.87,39.2,43.72,41.36,40.63,33.99,30.45,33.55,35.95,39.08,38.88,43.72
T2M_MAX,1990,11.5,30.0,36.99,36.36,38.0,42.41,40.48,39.95,33.19,30.17,32.97,35.36,37.87,37.77,42.41
T2M_MAX,1990,11.5,30.625,37.41,36.49,38.29,42.25,40.41,39.65,33.65,30.13,32.41,35.83,37.47,38.24,42.25
T2M_MAX,1990,11.5,31.25,37.66,36.37,39.14,43.72,41.58,40.62,34.14,32.85,35.3,38.21,39.31,39.24,43.72
T2M_MAX,1990,11.5,31.875,35.85,34.79,37.14,42.72,41.71,40.19,33.78,33.68,35.57,38.25,39.18,37.71,42.72
T2M_MAX,1990,12.0,29.375,36.93,36.68,38.36,43.05,41.11,40.48,34.86,31.64,34.58,36.53,38.29,37.99,43.05
T2M_MAX,1990,12.0,30.0,34.35,33.97,36.06,40.56,39.72,38.87,32.78,31.52,33.72,35.46,36.55,35.78,40.56
T2M_MAX,1990,12.0,30.625,35.44,34.98,37.21,41.59,40.54,39.57,34.01,32.5,34.16,36.61,37.76,37.04,41.59
T2M_MAX,1990,12.0,31.25,35.2,34.47,37.33,41.64,40.64,39.87,34.03,33.22,34.99,37.29,37.54,36.87,41.64
T2M_MAX,1990,12.0,31.875,33.57,32.92,34.84,40.02,39.98,38.84,33.39,33.91,34.72,37.41,37.53,35.78,40.02
T2M_MAX,1990,9.0,29.375,41.1,41.21,42.32,43.82,40.53,37.73,33.82,31.12,31.81,37.16,40.07,40.85,43.82
T2M_MAX,1990,9.0,30.0,41.2,40.96,42.15,43.87,40.96,39.08,34.34,31.06,31.96,38.43,41.14,40.8,43.87
T2M_MAX,1990,9.0,30.625,40.95,40.55,41.78,43.96,41.41,39.92,34.44,31.2,32.12,38.89,41.28,40.74,43.96
T2M_MAX,1990,9.0,31.25,40.57,40.19,41.45,43.8,41.44,39.67,34.49,31.54,32.65,39.66,41.42,40.74,43.8
T2M_MAX,1990,9.0,31.875,39.88,40.26,41.48,43.45,41.13,38.95,34.77,31.83,32.72,39.33,40.76,40.44,43.45
