-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,1990,10.0,29.375,16.61,18.46,19.26,21.67,24.1,22.86,20.03,20.22,19.99,21.74,19.75,21.23,16.61
T2M_MIN,1990,10.0,30.0,16.77,18.4,19.46,21.92,24.37,23.06,20.28,20.33,19.65,21.97,19.73,21.53,16.77
T2M_MIN,1990,10.0,30.625,16.82,18.32,19.46,21.5,23.71,22.49,20.33,20.17,19.66,21.79,20.86,21.92,16.82
T2M_MIN,1990,10.0,31.25,16.99,18.24,19.5,21.57,24.87,23.24,20.55,20.1,20.09,22.13,22.0,21.39,16.99
T2M_MIN,1990,10.0,31.875,17.77,18.74,19.7,21.43,25.17,23.42,20.78,20.43,21.37,22.63,22.05,21.24,17.77
T2M_MIN,1990,10.5,29.375,15.45,17.37,18.54,21.65,24.59,23.34,20.27,20.65,20.18,22.22,20.0,20.59,15.45
T2M_MIN,1990,10.5,30.0,15.78,17.58,18.8,21.76,24.32,23.12,19.99,20.36,19.91,21.85,19.35,21.28,15.78
T2M_MIN,1990,10.5,30.625,15.95,17.45,18.78,21.39,24.07,22.48,19.83,19.6,19.76,21.62,19.38,21.23,15.95
T2M_MIN,1990,10.5,31.25,16.27,17.55,18.86,20.76,24.84,23.37,20.46,19.65,20.23,21.93,20.78,20.91,16.27
T2M_MIN,1990,10.5,31.875,17.3,18.28,19.27,21.39,25.38,23.71,21.41,20.94,21.74,22.51,21.47,21.21,17.3
T2M_MIN,1990,11.0,29.375,13.91,15.68,17.21,20.69,22.18,23.07,19.39,19.83,19.77,21.64,19.09,20.15,13.91
T2M_MIN,1990,11.0,30.0,13.94,15.84,16.99,20.43,22.93,22.78,19.14,19.65,19.73,21.06,18.76,20.34,13.94
T2M_MIN,1990,11.0,30.625,14.04,15.36,16.72,20.61,22.76,22.15,18.61,18.95,19.18,20.52,18.62,19.97,14.04
T2M_MIN,1990,11.0,31.25,15.34,16.6,17.8,21.16,24.89,23.21,20.17,19.41,20.09,21.73,19.9,20.7,15.34
T2M_MIN,1990,11.0,31.875,16.62,17.67,18.65,21.03,25.38,24.07,21.52,20.57,21.41,22.79,21.27,20.46,16.62
T2M_MIN,1990,11.5,29.375,12.41,13.7,15.76,19.35,21.74,22.42,18.61,19.01,19.02,19.46,17.63,18.42,12.41
