-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1990,11.0,25.0,0.0,0.0,0.0,0.0,0.32,1.59,5.28,4.27,2.48,0.67,0.02,0.0,1.23
PRECTOTCORR,1990,11.0,25.625,0.0,0.0,0.0,0.0,0.29,1.37,6.02,4.58,2.74,0.85,0.03,0.0,1.34
PRECTOTCORR,1990,11.0,26.25,0.0,0.0,0.0,0.0,0.26,1.16,6.73,3.72,3.12,0.76,0.01,0.0,1.33
PRECTOTCORR,1990,11.0,26.875,0.0,0.0,0.0,0.0,0.27,1.4,7.23,3.49,3.21,0.83,0.01,0.0,1.38
PRECTOTCORR,1990,11.0,27.5,0.0,0.0,0.0,0.0,0.31,1.91,7.75,3.49,3.34,1.07,0.0,0.0,1.5
PRECTOTCORR,1990,11.0,28.125,0.0,0.0,0.0,0.0,0.35,2.26,7.75,3.81,3.39,1.24,0.0,0.0,1.58
PRECTOTCORR,1990,11.0,28.75,0.0,0.0,0.0,0.0,0.45,2.77,7.96,4.88,3.29,1.98,0.0,0.0,1.79
PRECTOTCORR,1990,11.5,25.0,0.0,0.0,0.0,0.0,0.27,1.53,4.72,4.07,2.26,0.61,0.01,0.0,1.13
PRECTOTCORR,1990,11.5,25.625,0.0,0.0,0.0,0.0,0.24,1.34,5.61,4.19,2.72,0.66,0.01,0.0,1.24
PRECTOTCORR,1990,11.5,26.25,0.0,0.0,0.0,0.0,0.22,1.02,6.07,3.31,2.85,0.49,0.01,0.0,1.18
PRECTOTCORR,1990,11.5,26.875,0.0,0.0,0.0,0.0,0.2,1.04,6.76,3.04,2.99,0.59,0.01,0.0,1.23
PRECTOTCORR,1990,11.5,27.5,0.0,0.0,0.0,0.0,0.23,1.3,7.78,3.0,3.16,0.88,0.01,0.0,1.38
PRECTOTCORR,1990,11.5,28.125,0.0,0.0,0.0,0.0,0.28,1.67,8.22,3.53,3.32,1.04,0.0,0.0,1.52
PRECTOTCORR,1990,11.5,28.75,0.0,0.0,0.0,0.0,0.35,2.51,8.64,4.99,3.45,1.49,0.0,0.0,1.8
PRECTOTCORR,1990,12.0,25.0,0.0,0.0,0.0,0.0,0.27,1.19,4.81,2.93,1.81,0.44,0.0,0.0,0.96
PRECTOTCORR,1990,12.0,25.625,0.0,0.0,0.0,0.0,0.2,1.05,5.12,3.8,2.46,0.52,0.0,0.0,1.11
PRECTOTCORR,1990,12.0,26.25,0.0,0.0,0.0,0.0,0.17,0.91,5.37,3.16,2.65,0.42,0.0,0.0,1.07
PRECTOTCORR,1990,12.0,26.875,0.0,0.0,0.0,0.0,0.16,0.81,5.94,2.84,2.68,0.47,0.0,0.0,1.09
PRECTOTCORR,1990,12.0,27.5,0.0,0.0,0.0,0.0,0.18,0.83,6.94,2.81,2.75,0.68,0.0,0.0,1.2
PRECTOTCORR,1990,12.0,28.125,0.0,0.0,0.0,0.0,0.22,0.97,7.01,3.12,2.86,0.85,0.0,0.0,1.27
PRECTOTCORR,1990,12.0,28.75,0.0,0.0,0.0,0.0,0.26,1.31,7.01,4.28,2.98,1.18,0.0,0.0,1.43
PRECTOTCORR,1990,12.5,25.0,0.0,0.0,0.0,0.0,0.11,0.65,4.78,2.21,1.23,0.38,0.0,0.0,0.79
PRECTOTCORR,1990,12.5,25.625,0.0,0.0,0.0,0.0,0.1,0.49,4.55,2.73,1.78,0.55,0.0,0.0,0.86
PRECTOTCORR,1990,12.5,26.25,0.0,0.0,0.0,0.0,0.1,0.52,4.36,2.35,1.97,0.51,0.0,0.0,0.83
PRECTOTCORR,1990,12.5,26.875,0.0,0.0,0.0,0.0,0.09,0.48,4.6,2.15,1.94,0.52,0.0,0.0,0.82
PRECTOTCORR,1990,12.5,27.5,0.0,0.0,0.0,0.0,0.1,0.44,5.31,2.23,1.82,0.52,0.0,0.0,0.88
PRECTOTCORR,1990,12.5,28.125,0.0,0.0,0.0,0.0,0.13,0.47,6.02,2.44,1.93,0.67,0.0,0.0,0.98
PRECTOTCORR,1990,12.5,28.75,0.0,0.0,0.0,0.0,0.15,0.53,5.82,2.96,2.14,0.93,0.0,0.0,1.06
PRECTOTCORR,1990,13.0,25.0,0.0,0.0,0.0,0.0,0.02,0.14,4.22,1.53,0.8,0.26,0.0,0.0,0.59
PRECTOTCORR,1990,13.0,25.625,0.0,0.0,0.0,0.0,0.03,0.11,4.22,1.88,1.21,0.47,0.0,0.0,0.67
PRECTOTCORR,1990,13.0,26.25,0.0,0.0,0.0,0.0,0.03,0.14,3.83,1.58,1.25,0.54,0.0,0.0,0.62
PRECTOTCORR,1990,13.0,26.875,0.0,0.0,0.0,0.0,0.02,0.13,3.56,1.39,1.05,0.55,0.0,0.0,0.57
PRECTOTCORR,1990,13.0,27.5,0.0,0.0,0.0,0.0,0.04,0.18,5.59,1.78,1.17,0.58,0.0,0.0,0.79
PRECTOTCORR,1990,13.0,28.125,0.0,0.0,0.0,0.0,0.06,0.2,5.63,1.84,1.26,0.6,0.0,0.0,0.81
PRECTOTCORR,1990,13.0,28.75,0.0,0.0,0.0,0.0,0.07,0.22,5.8,2.03,1.44,0.67,0.0,0.0,0.86
PRECTOTCORR,1990,13.5,25.0,0.0,0.0,0.0,0.0,0.01,0.02,3.97,1.23,0.82,0.12,0.0,0.0,0.52
PRECTOTCORR,1990,13.5,25.625,0.0,0.0,0.0,0.0,0.01,0.03,4.13,1.54,1.13,0.27,0.0,0.0,0.6
PRECTOTCORR,1990,13.5,26.25,0.0,0.0,0.0,0.0,0.01,0.05,3.75,1.37,1.17,0.41,0.0,0.0,0.57
PRECTOTCORR,1990,13.5,26.875,0.0,0.0,0.0,0.0,0.02,0.08,3.5,1.21,1.1,0.47,0.0,0.0,0.54
PRECTOTCORR,1990,13.5,27.5,0.0,0.0,0.0,0.0,0.03,0.11,5.0,1.4,0.81,0.61,0.0,0.0,0.67
PRECTOTCORR,1990,13.5,28.125,0.0,0.0,0.0,0.0,0.03,0.11,5.49,1.49,0.83,0.58,0.0,0.0,0.72
PRECTOTCORR,1990,13.5,28.75,0.0,0.0,0.0,0.0,0.04,0.12,6.15,1.5,0.8,0.55,0.0,0.0,0.78
PRECTOTCORR,1990,14.0,25.0,0.0,0.0,0.0,0.0,0.01,0.01,3.85,1.0,0.77,0.05,0.0,0.0,0.48
