-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1990,11.0,25.0,24.37,25.43,27.15,31.78,32.62,31.04,27.89,26.98,27.69,28.76,28.31,27.12,28.27
T2M,1990,11.0,25.625,24.32,25.33,27.16,31.95,32.91,31.38,27.72,26.79,27.73,28.69,28.33,27.17,28.3
T2M,1990,11.0,26.25,24.5,25.55,27.36,32.15,33.09,31.43,27.45,26.72,27.8,28.99,28.6,27.6,28.44
T2M,1990,11.0,26.875,24.87,25.9,27.68,32.64,33.34,31.54,27.54,26.77,27.85,29.24,29.04,28.16,28.72
T2M,1990,11.0,27.5,25.14,26.09,27.81,32.88,33.34,31.45,27.4,26.76,27.5,28.99,29.15,28.3,28.74
T2M,1990,11.0,28.125,25.86,26.5,28.11,33.15,33.3,31.12,26.96,26.57,27.11,28.63,29.42,28.78,28.8
T2M,1990,11.0,28.75,26.19,26.61,28.14,33.22,33.13,30.66,26.21,25.95,26.53,28.16,29.62,29.18,28.63
T2M,1990,11.5,25.0,23.82,24.69,26.46,31.28,32.56,31.08,27.82,26.84,28.01,28.79,28.13,26.81,28.03
T2M,1990,11.5,25.625,23.87,24.8,26.55,31.54,32.97,31.66,28.0,27.12,28.14,28.92,28.17,26.89,28.23
T2M,1990,11.5,26.25,23.8,24.75,26.58,31.52,32.93,31.59,27.89,27.28,28.19,29.07,28.17,27.0,28.24
T2M,1990,11.5,26.875,24.07,25.0,26.88,31.95,33.29,31.84,27.93,27.27,28.17,29.26,28.55,27.47,28.48
T2M,1990,11.5,27.5,24.28,25.17,27.02,32.22,33.41,31.82,27.75,27.08,27.77,29.1,28.59,27.63,28.5
T2M,1990,11.5,28.125,24.62,25.25,27.07,32.32,33.34,31.44,27.18,26.72,27.05,28.56,28.53,27.74,28.33
T2M,1990,11.5,28.75,25.06,25.44,27.17,32.36,33.22,30.64,26.12,25.67,26.11,27.79,28.91,28.39,28.08
T2M,1990,12.0,25.0,22.72,23.52,25.37,30.55,32.24,30.75,27.48,26.85,28.12,28.58,27.52,25.88,27.48
T2M,1990,12.0,25.625,23.12,23.99,25.78,31.1,33.0,31.77,27.99,27.01,28.52,28.98,27.99,26.43,27.99
T2M,1990,12.0,26.25,23.17,24.05,25.92,31.31,33.13,31.95,28.18,27.45,28.65,29.32,28.12,26.67,28.17
T2M,1990,12.0,26.875,23.18,24.05,25.98,31.41,33.2,32.09,28.15,27.59,28.54,29.42,28.15,26.81,28.23
T2M,1990,12.0,27.5,23.27,24.12,26.06,31.49,33.18,32.01,27.91,27.34,28.09,29.3,28.15,26.88,28.16
T2M,1990,12.0,28.125,23.47,24.15,26.1,31.51,33.1,31.72,27.52,27.12,27.49,28.99,28.08,26.95,28.03
T2M,1990,12.0,28.75,23.81,24.21,26.18,31.49,33.11,31.22,26.67,26.14,26.51,28.18,28.31,27.37,27.78
T2M,1990,12.5,25.0,21.3,22.06,23.87,29.36,31.44,30.49,27.14,26.26,27.4,27.76,26.41,24.43,26.51
T2M,1990,12.5,25.625,22.03,22.85,24.68,30.37,32.52,31.76,28.04,27.01,28.52,28.54,27.34,25.44,27.44
T2M,1990,12.5,26.25,22.24,23.05,24.95,30.83,32.89,32.07,28.59,27.91,29.22,29.21,27.57,25.89,27.89
T2M,1990,12.5,26.875,22.29,23.12,25.05,30.98,33.06,32.31,28.66,28.24,29.27,29.54,27.77,26.14,28.05
T2M,1990,12.5,27.5,22.36,23.16,25.15,31.04,33.1,32.35,28.44,28.02,28.99,29.74,27.89,26.28,28.06
T2M,1990,12.5,28.125,22.5,23.15,25.2,31.02,33.04,32.07,28.0,27.64,28.32,29.59,27.85,26.3,27.91
T2M,1990,12.5,28.75,22.52,22.92,25.02,30.64,32.65,31.39,26.75,26.31,26.99,28.43,27.71,26.39,27.33
T2M,1990,13.0,25.0,19.9,20.75,22.37,28.2,30.62,30.79,27.78,26.9,27.69,27.06,25.03,22.95,25.86
T2M,1990,13.0,25.625,21.06,21.88,23.73,29.73,32.0,32.03,28.62,27.53,28.82,28.35,26.55,24.52,27.09
T2M,1990,13.0,26.25,21.15,21.88,23.85,30.12,32.38,32.25,29.08,28.49,29.53,28.92,26.84,24.93,27.47
T2M,1990,13.0,26.875,21.4,22.09,24.11,30.52,32.84,32.63,29.37,29.1,29.96,29.48,27.31,25.41,27.87
T2M,1990,13.0,27.5,21.45,22.12,24.19,30.66,32.99,32.58,28.82,28.48,29.44,29.66,27.43,25.61,27.81
T2M,1990,13.0,28.125,21.41,21.99,24.12,30.51,32.92,32.32,28.36,28.2,29.07,29.62,27.23,25.42,27.62
T2M,1990,13.0,28.75,21.39,21.8,24.0,30.17,32.65,31.76,27.37,27.23,28.16,29.17,27.02,25.34,27.19
T2M,1990,13.5,25.0,19.48,20.46,22.02,28.09,30.49,31.02,28.54,27.77,28.1,27.1,24.75,22.62,25.89
T2M,1990,13.5,25.625,20.16,20.91,22.79,29.04,31.36,31.77,28.92,28.17,28.75,27.91,25.67,23.61,26.61
T2M,1990,13.5,26.25,20.05,20.7,22.72,29.3,31.74,32.02,29.32,28.85,29.34,28.3,25.91,23.88,26.87
T2M,1990,13.5,26.875,20.27,20.81,22.94,29.74,32.2,32.29,29.5,29.29,29.74,28.75,26.41,24.4,27.22
T2M,1990,13.5,27.5,20.36,20.84,23.02,29.94,32.46,32.38,28.88,28.77,29.47,28.99,26.72,24.72,27.24
