-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1990,11.0,25.0,38.09,37.87,39.09,43.37,42.12,40.92,37.16,35.15,37.75,37.6,38.82,38.26,43.37
T2M_MAX,1990,11.0,25.625,38.2,37.89,39.09,43.37,42.26,40.95,37.05,34.47,37.58,37.52,39.0,38.32,43.37
T2M_MAX,1990,11.0,26.25,38.54,38.11,39.37,43.52,42.34,40.85,37.36,33.94,38.0,37.88,39.35,38.54,43.52
T2M_MAX,1990,11.0,26.875,38.93,38.53,39.92,43.66,42.59,41.04,37.11,33.71,37.98,38.64,39.57,39.02,43.66
T2M_MAX,1990,11.0,27.5,38.95,38.79,40.2,43.64,42.68,41.07,35.35,33.27,36.37,38.19,39.32,39.35,43.64
T2M_MAX,1990,11.0,28.125,39.1,39.31,40.59,43.98,42.88,41.15,34.72,33.11,35.29,37.61,39.75,39.89,43.98
T2M_MAX,1990,11.0,28.75,39.0,39.26,40.46,43.98,42.64,40.98,33.79,32.3,33.9,37.07,39.84,40.18,43.98
T2M_MAX,1990,11.5,25.0,37.35,37.17,38.56,43.15,41.78,40.88,37.68,35.13,38.39,38.07,38.87,38.09,43.15
T2M_MAX,1990,11.5,25.625,37.76,37.51,38.75,43.52,42.13,41.04,37.25,34.86,38.53,38.18,39.26,38.29,43.52
T2M_MAX,1990,11.5,26.25,37.93,37.57,38.71,43.37,42.16,40.85,37.48,35.68,38.81,38.44,39.45,38.2,43.37
T2M_MAX,1990,11.5,26.875,38.26,37.73,39.1,43.35,42.39,40.78,37.54,35.04,38.33,38.72,39.51,38.64,43.35
