feature,importance_mean,importance_std
Rainfall_lag_12,0.6242440911539194,0.06939709295969304
Rainfall_lag_1,0.08731136414237434,0.011198086672568466
Month_cos,0.0395955497336201,0.011536694681973306
Rainfall_roll12,0.036050375591524755,0.007617650647648418
Rainfall_roll3,0.020455800305487305,0.00834632257280305
Temperature_lag_3,0.007057892932325727,0.002429464342918688
Rainfall_lag_2,0.006863726021324146,0.006285935421214746
Temperature_lag_12,0.005769300591677995,0.0018730595072372945
Temperature_lag_1,0.005316985297502552,0.0017017806487964395
Temperature_lag_2,0.004988797039913251,0.0023540907467861426
Rainfall_lag_3,0.004769441048262246,0.0020044130235473746
Temperature_roll3,0.002194997068701221,0.001731483694723962
Temperature_roll12,0.0018403078825487528,0.00241779798302332
Month_sin,0.001611284333459606,0.0007596081473873679
YEAR,0.0,0.0
Time,0.0,0.0
